year    AMS
1951	2.33
1952	5.85
1953	3.41
1954	1.28
1955	4.91
1956	4.26
1957	2.37
1958	2.68
1959	2.37
1960	3.42
1961	2.39
1962	2.74
1963	3.19
1964	2.02
1965	1.64
1966	3.82
1967	2.72
1968	3.72
1969	1.95
1970	1.83
1971	4.04
1972	3.84
1973	1.78
1974	1.99
1975	3.45
1976	4.18
1977	3.36
1978	2.33
1979	4.39
1980	1.71
1981	2.3
1982	1.87
1983	3.26
1984	1.84
1985	5
1986	2.49
1987	3.18
1988	1.75
1989	2.6
1990	2.35
1991	2.36
1992	2.47
1993	2.45
1994	2.62
1995	2.67
1996	2.73
1997	2.75
1998	1.82
1999	5.02
2000	2.14
2001	3.23
2002	2.21
2003	2.3
2004	4.45
2005	4.37
2006	2.75
2007	2.52
2008	3.57
2009	2.29
2010	6.02
2011	3.59
2012	5.51
2013	3.66
2014	6.3
2015	3.11
2016	2.61
2017	2.58
2018	4.79
