1950	83
1951	84.5
1952	89.5
1953	86
1954	87
1955	87.5
1956	84
1957	88
1958	82
1959	87.5
1960	83.5
1961	84.5
1962	84.5
1963	85.5
1964	85
1965	87
1966	86.5
1967	82
1968	87.5
1969	87
1970	84.5
1971	83.5
1972	87
1973	86.5
1974	83.5
1975	86
1976	83
1977	86
1978	89.5
1979	83
1980	87
1981	86
1982	84.5
1983	87.5
1984	83
1985	86
1986	88.5
1987	87.5
1988	89.5
1989	85.5
1990	87
1991	88.5
1992	85.5
1993	88.5
1994	87.5
1995	90.5
1996	81
1997	87.5
1998	86.5
1999	89.5
2000	82.5
2001	86.5
2002	87.5
2003	82.5
2004	82
2005	85.5
2006	89
2007	91
2008	84
2009	82.5
2010	91.5
2011	93.5
2012	91
2013	86
2014	84.5
2015	85.5
2016	88
2017	85.5
2018	87.5
